track_name,lyric_sentiment
Dawn FM,0.9474
Gasoline,0.7909
How Do I Make You Love Me?,0.9854
Take My Breath,0.9923
Sacrifice,0.9969
A Tale By Quincy,-0.9632
Out of Time,0.9948
"Here We Go… Again (feat. Tyler, the Creator)",-0.1779
Best Friends,0.9995
Is There Someone Else?,-0.9809
Starry Eyes,0.9836
Every Angel is Terrifying,0.9693
Don’t Break My Heart,-0.9312
I Heard You’re Married (feat. Lil Wayne),0.5808
Less Than Zero,0.9804
Phantom Regret by Jim,0.9844
Take My Breath (Remix) (feat. Agents of Time),0.9849
Sacrifice (Remix) (feat. Swedish House Mafia),0.0
Moth To A Flame (with The Weeknd),0.9904
Alone Again,-0.8977
Too Late,0.8315
Hardest To Love,0.9981
Scared To Live,0.9959
Snowchild,-0.4356
Escape From LA,0.4534
Heartless,-0.9991
Faith,0.9706
Blinding Lights,0.5972
In Your Eyes,-0.9743
Save Your Tears,0.9821
Repeat After Me (Interlude),-0.9951
After Hours,0.9666
Until I Bleed Out,-0.8945
Nothing Compares - Bonus Track,0.9978
Missed You - Bonus Track,0.8991
Final Lullaby - Bonus Track,-0.481
Call Out My Name,0.994
Try Me,0.996
Wasted Times,0.9892
I Was Never There,-0.7314
Hurt You,0.992
Privilege,-0.7276
Call Out My Name - A Cappella,0.994
Starboy,-0.9908
Party Monster,0.9419
False Alarm,-0.6876
Reminder,-0.9799
Rockin’,0.9977
Secrets,0.987
True Colors,0.9989
Stargirl Interlude,0.994
Sidewalks,0.9889
Six Feet Under,-0.9972
Love To Lay,0.9985
A Lonely Night,0.9907
Attention,0.9694
Ordinary Life,-0.3527
Nothing Without You,0.5591
All I Know,-0.9991
Die For You,-0.9989
I Feel It Coming,0.9635
Real Life,0.9825
Losers,0.9731
Tell Your Friends,-0.9734
Often,0.9963
The Hills,-0.9948
Acquainted,0.943
Can't Feel My Face,0.9997
Shameless,0.9973
Earned It (Fifty Shades Of Grey),0.999
In The Night,-0.0129
As You Are,0.9944
Dark Times,0.995
Prisoner,-0.9339
Angel,0.9999
Can't Feel My Face - Martin Garrix Remix,0.9993
The Hills - Remix,-0.9948
The Hills - Remix,-0.9948
Professional,0.9998
The Town,0.9981
Adaptation,0.9952
Love In The Sky,0.9984
Belong To The World,0.9959
Live For,0.9942
Wanderlust,0.9997
Kiss Land,0.9975
Pretty,0.9982
Tears In The Rain,0.9954
Wanderlust,0.9997
Odd Look,0.9859
D.D. - Original,-0.9892
Montreal - Original,0.9222
Outside - Original,0.7954
XO / The Host - Original,0.998
Same Old Song - Original,-0.4795
The Fall - Original,0.9995
Next - Original,0.9972
Echoes Of Silence - Original,-0.9489
Lonely Star - Original,0.997
Life Of The Party - Original,0.9906
Thursday - Original,0.9976
The Zone - Original,0.9906
The Birds Pt. 1 - Original,0.9986
The Birds Pt. 2 - Original,0.9912
Gone - Original,-0.9164
Rolling Stone - Original,0.9719
Heaven Or Las Vegas - Original,0.9956
High For This - Original,0.9837
What You Need - Original,0.9102
House Of Balloons / Glass Table Girls - Original,0.9996
The Morning - Original,0.8099
Wicked Games - Original,0.9645
The Party & The After Party - Original,0.9599
Coming Down - Original,-0.7037
Loft Music - Original,0.871
The Knowing - Original,0.9866
